"Novice Meat Skewer
初心小肉串",Any Meat Type,–,–,–,–,BBQ
"Novice Veggie Skewer
初心小菜串",Any Veggie Type,–,–,–,–,BBQ
"Novice Seafood Skewer
初心小海串",Any Fish Type,–,–,–,–,BBQ
"Novice Fruit Pieces
初心小果片",Any Fruit Type,–,–,–,–,BBQ
"Popular Skewer
大众肉串",Rocker Leg,Salt,–,–,–,BBQ
"Island Skewer
海岛小烤串",Hydra Meat,Flour,–,–,–,BBQ
"Veggie Taste
素之味",South Prt Carrot,Salt,–,–,–,BBQ
"Hungry Man Skewer
饿汉肉串",Desert Wolf Meat,Rocker Leg,Magic Spore,–,–,BBQ
"Pride of Izlude
伊斯鲁德的骄傲",Marse Tentacles,Marina Meat,Vadon Meat,–,–,BBQ
"Smile of Farmer
农夫的微笑",Magic Spore,Poring Apple,Sugar,–,–,BBQ
"Golden Meat Skewer
黄金肉串",Muka Meat,Picky Meat,Vanilla,–,–,BBQ
"Super Seafood Skewer
超绝颤抖海鲜烧烤",Swordfish Meat,Marina Meat,Chili,–,–,BBQ
"Flaming Veggie Skewer
炎之素食串",Golden Pumpkin,Magic Spore,Chili,–,–,BBQ
"Super Delicious Meat Skewer
超绝美味肉串",Muka Meat,Desert Wolf Meat,Apple Vinegar,–,–,BBQ
"Super Delicious Seafood Skewer
超绝美味海鲜串",Swordfish Meat,Vadon Meat,Apple Vinegar,–,–,BBQ
"Super Delicious Grilled Veggie
超绝美味烤蔬菜",South Prt Carrot,Golden Pumpkin,Apple Vinegar,–,–,BBQ
"Magical Meat Skewer
魔幻诱人肉串",Lunatic Meat,Desert Wolf Meat,Poring Apple,Salt,–,BBQ
"Magical Seafood Skewer
魔幻诱人海味串",Marse Tentacles,Hydra Meat,West Prt Tomato,Salt,–,BBQ
"Magical Grilled Veggie
魔幻诱人烤菜",Magic Spore,West Prt Tomato,Salt,Flour,–,BBQ
"Golden Cross Meat Skewer
黄金十字肉串",Picky Meat,Rocker Leg,Vanilla,Chili,–,BBQ
"Call Of Sea
来自海洋的呼唤",Marse Tentacles,Vadon Meat,Chili,Vanilla,–,BBQ
"Payon Specialty Veggie Skewer
斐扬特产蔬菜串",Magic Spore,West Prt Tomato,Milk,Vanilla,–,BBQ
"Giant Tower
巨塔",Muka Meat,Picky Meat,Cream,Sauce,–,BBQ
"Telubixiusi Seafood Skewer
特鲁毕修斯海鲜串",Swordfish Meat,Marse Tentacles,Apple Vinegar,Cheese,–,BBQ
"Sky Sword
天空之剑",Golden Pumpkin,Magic Spore,Sauce,Apple Vinegar,–,BBQ
"Prontera Royal Meat Skewer
普隆德拉皇家肉串",Muka Meat,Picky Meat,Rocker Leg,Apple Vinegar,Sauce,BBQ
"Prontera Royal Fish Skewer
普隆德拉皇家鱼介串",Swordfish Meat,Marina Meat,Vadon Meat,Sauce,Apple Vinegar,BBQ
"Prontera Royal Grilled Veggie
普隆德拉皇家烤菜",Golden Pumpkin,Mountain Celery,West Prt Tomato,Cheese,Apple Vinegar,BBQ
"Don’t Forget·Meat Skewer
勿忘初心·肉串",Savage Meat,Muka Meat,Desert Wolf Meat,Picky Meat,MSG,BBQ
"Don’t Forget·Fish Skewer
勿忘初心·鱼介串",Marc Meat,Swordfish Meat,Marina Meat,Marse Tentacles,MSG,BBQ
"Don’t Forget·Grilled Veggie
勿忘初心·烤菜",Bamboo Eggplant,Golden Pumpkin,Magic Spore,Mountain Celery,MSG,BBQ
"Novice Meat Soup
初心小肉汤",Any Meat Type,–,–,–,–,Pressure
"Novice Veggie Soup
初心小菜汤",Any Veggie Type,–,–,–,–,Pressure
"Novice Fish Soup
初心小鱼汤",Any Fish Type,–,–,–,–,Pressure
"Novice Black Tea
初心小红茶",Any Fruit Type,–,–,–,–,Pressure
"Fragrant Meat Soup
飘飘香肉汤",Lunatic Meat,Flour,–,–,–,Pressure
"Smart Fish Head Soup
聪明鱼头汤",Hydra Meat,Salt,–,–,–,Pressure
"Mommy Veggie Soup
妈妈的菜汤",South Prt Carrot,West Prt Tomato,–,–,–,Pressure
"Music Box Meat Soup
八音盒肉汤",Picky Meat,Rocker Leg,Sugar,–,–,Pressure
"Delicious Fresh Veggie Soup
美味鲜蔬汤",Mountain Celery,Magic Spore,Goblin Strawberry,–,–,Pressure
"Satisfactory
大满足",Muka Meat,Savage Meat,Sugar,–,–,Pressure
"Music of Soul
魂之重奏",Swordfish Meat,Marc Meat,Milk,–,–,Pressure
"Warm Oasis
热情绿洲",Bamboo Eggplant,Golden Pumpkin,Vanilla,–,–,Pressure
"Super Delicious Meat Soup
超绝美味肉汤",Bamboo Eggplant,Rocker Leg,Cream,–,–,Pressure
"Super Delicious Seafood Soup
超绝美味海鲜汤",Swordfish Meat,Marc Meat,Apple Vinegar,–,–,Pressure
"Super Delicious Vegetarian Soup
超绝美味素食汤",Bamboo Eggplant,Golden Pumpkin,Cream,–,–,Pressure
"Illusion Fragrant Meat Soup
迷幻香浓肉汤",Picky Meat,Rocker Leg,South Prt Carrot,Milk,–,Pressure
"Illusion Fragrant Fish Soup
迷幻香浓鱼汤",Marina Meat,Hydra Meat,Milk,Salt,–,Pressure
"Illusion Fragrant Veggie Soup
迷幻香浓鲜蔬汤",West Prt Tomato,South Prt Carrot,Mountain Celery,Flour,–,Pressure
"Mummy’s Hug
母亲的怀抱",Desert Wolf Meat,Lunatic Meat,Vanilla,Chili,–,Pressure
"Al De Baran Fish Soup
艾尔帕兰香鱼汤",Marse Tentacles,Marina Meat,Sugar,Vanilla,–,Pressure
"Missy’s Elegant
大小姐的优雅",Magic Spore,Mountain Celery,Vanilla,Salt,–,Pressure
"Braun March
博朗迪进行曲",Muka Meat,Savage Meat,Sauce,Apple Vinegar,–,Pressure
"Song of Chanson
香颂之歌",Swordfish Meat,Marc Meat,Cheese,Apple Vinegar,–,Pressure
"Twilight Sage
黄昏的贤者",Golden Pumpkin,Bamboo Eggplant,Milk,Cheese,–,Pressure
"Prontera Royal Meat Soup
普隆德拉皇家肉汤",Savage Meat,Muka Meat,Lunatic Meat,Apple Vinegar,Cheese,Pressure
"Prontera Royal Seafood Soup
普隆德拉皇家海鲜汤",Marc Meat,Swordfish Meat,Hydra Meat,Cheese,Sauce,Pressure
"Prontera Royal Veggie Soup
普隆德拉皇家蔬菜汤",Marc Meat,Swordfish Meat,Hydra Meat,Cheese,Sauce,Pressure
"Don’t Forget·Meat Soup
勿忘初心·肉汤",Savage Meat,Muka Meat,Desert Wolf Meat,Picky Meat,Rainbow Powder,Pressure
"Don’t Forget·Seafood Soup
勿忘初心·海鲜汤",Marc Meat,Swordfish Meat,Marina Meat,Marse Tentacles,Rainbow Powder,Pressure
"Don’t Forget·Veggie Soup
勿忘初心·蔬菜汤",Bamboo Eggplant,Golden Pumpkin,Magic Spore,Mountain Celery,MSG,Pressure
"Novice Sashimi
初心小刺身",Any Meat Type,–,–,–,–,Romantic
"Novice Salad
初心小色拉",Any Veggie Type,–,–,–,–,Romantic
"Novice Sushi
初心小寿司",Any Fish Type,–,–,–,–,Romantic
"Novice Fruit Platter
初心小果盘",Any Fruit Type,–,–,–,–,Romantic
